candidate_id,rank,score,reasoning
CAND_0052328,1,0.675822,"Candidate possesses 6.5 YOE as a Recommendation Systems Engineer. They maintain high responsiveness to outreach and are ready to relocate, have verified public credentials through open-source contributions or talks, have AI expertise well-aligned with NLP and information retrieval, and bring a solid engineering foundation for scaling production ML systems."
CAND_0027691,2,0.667699,"Candidate possesses 6.5 YOE as a NLP Engineer. They possess a highly aligned specialization in search, ranking, and NLP, bring hands-on proficiency in vector search and embedding retrieval systems, bring a solid engineering foundation for scaling production ML systems, and maintain high responsiveness to outreach and are ready to relocate."
CAND_0007009,3,0.657487,"Candidate possesses 7.9 YOE as a Recommendation Systems Engineer. They have AI expertise well-aligned with NLP and information retrieval, maintain high responsiveness to outreach and are ready to relocate, bring hands-on proficiency in vector search and embedding retrieval systems, and possess a track record validated by active public contributions."
CAND_0003977,4,0.65583,"Candidate possesses 4.6 YOE as a Recommendation Systems Engineer. They possess a highly aligned specialization in search, ranking, and NLP, show strong familiarity with PEFT, QLoRA, and modern neural ranking, demonstrate strong expertise in vector databases and search retrieval architectures, and possess strong software engineering fundamentals and build robust production pipelines."
CAND_0054123,5,0.653999,"Candidate possesses 4.7 YOE as a Applied ML Engineer. They show a specialized background in text search and ranking systems, show strong familiarity with PEFT, QLoRA, and modern neural ranking, bring a solid engineering foundation for scaling production ML systems, and possess a track record validated by active public contributions."
CAND_0012957,6,0.652069,"Candidate possesses 4.9 YOE as a Search Engineer. They have AI expertise well-aligned with NLP and information retrieval, show strong familiarity with PEFT, QLoRA, and modern neural ranking, demonstrate strong expertise in vector databases and search retrieval architectures, and demonstrate excellent ML engineering skills and write high-quality production code."
CAND_0046525,7,0.650407,"Candidate possesses 6.1 YOE as a Senior Machine Learning Engineer. They possess a highly aligned specialization in search, ranking, and NLP, demonstrate strong expertise in vector databases and search retrieval architectures, possess an immediate notice period and meet the geographic criteria, and bring advanced expertise in LLM fine-tuning and ranking models."
CAND_0066999,8,0.649291,"Candidate possesses 5.9 YOE as a Recommendation Systems Engineer. They possess a highly aligned specialization in search, ranking, and NLP, show external validation of their work through open-source AI projects, are available to join quickly and fit the location preferences, and possess a solid background in search indexing and ranking algorithms."
CAND_0064326,9,0.643586,"Candidate possesses 7.6 YOE as a Search Engineer. They possess a highly aligned specialization in search, ranking, and NLP, possess a track record validated by active public contributions, possess strong software engineering fundamentals and build robust production pipelines, and maintain high responsiveness to outreach and are ready to relocate."
CAND_0018499,10,0.642453,"Candidate possesses 7.2 YOE as a Senior Machine Learning Engineer. They have AI expertise well-aligned with NLP and information retrieval, are available to join quickly and fit the location preferences, demonstrate strong expertise in vector databases and search retrieval architectures, and have verified public credentials through open-source contributions or talks."
CAND_0086022,11,0.64161,"Candidate possesses 5.3 YOE as a Senior Applied Scientist. They possess a highly aligned specialization in search, ranking, and NLP, maintain high responsiveness to outreach and are ready to relocate, possess a solid background in search indexing and ranking algorithms, and have verified public credentials through open-source contributions or talks."
CAND_0005260,12,0.638365,"Candidate possesses 5.2 YOE as a Senior NLP Engineer. They show a specialized background in text search and ranking systems, demonstrate strong expertise in vector databases and search retrieval architectures, demonstrate excellent ML engineering skills and write high-quality production code, and possess valuable hands-on experience with modern LLMs and deep learning."
CAND_0064904,13,0.635398,"Candidate possesses 4.9 YOE as a AI Engineer. They have AI expertise well-aligned with NLP and information retrieval, demonstrate excellent ML engineering skills and write high-quality production code, possess a solid background in search indexing and ranking algorithms, and possess a track record validated by active public contributions."
CAND_0068811,14,0.630332,"Candidate possesses 8.0 YOE as a Applied ML Engineer. They have AI expertise well-aligned with NLP and information retrieval, bring hands-on proficiency in vector search and embedding retrieval systems, are available to join quickly and fit the location preferences, and come from a strong product-engineering background."
CAND_0030348,15,0.627954,"Candidate possesses 4.5 YOE as a Machine Learning Engineer. They possess a highly aligned specialization in search, ranking, and NLP, bring hands-on proficiency in vector search and embedding retrieval systems, bring a solid engineering foundation for scaling production ML systems, and show strong familiarity with PEFT, QLoRA, and modern neural ranking."
CAND_0091909,16,0.619557,"Candidate possesses 6.9 YOE as a Machine Learning Engineer. They possess a highly aligned specialization in search, ranking, and NLP, show strong familiarity with PEFT, QLoRA, and modern neural ranking, bring hands-on proficiency in vector search and embedding retrieval systems, and show external validation of their work through open-source AI projects."
CAND_0020877,17,0.618191,"Candidate possesses 5.1 YOE as a Applied ML Engineer. They have AI expertise well-aligned with NLP and information retrieval, have verified public credentials through open-source contributions or talks, demonstrate strong expertise in vector databases and search retrieval architectures, and show strong familiarity with PEFT, QLoRA, and modern neural ranking."
CAND_0027801,18,0.616574,"Candidate possesses 7.4 YOE as a NLP Engineer. They possess a highly aligned specialization in search, ranking, and NLP, possess valuable hands-on experience with modern LLMs and deep learning, demonstrate strong expertise in vector databases and search retrieval architectures, and have verified public credentials through open-source contributions or talks."
CAND_0041669,19,0.614121,"Candidate possesses 8.0 YOE as a Recommendation Systems Engineer. They have AI expertise well-aligned with NLP and information retrieval, possess a track record validated by active public contributions, bring hands-on proficiency in vector search and embedding retrieval systems, and possess valuable hands-on experience with modern LLMs and deep learning."
CAND_0094759,20,0.61218,"Candidate possesses 8.6 YOE as a Lead AI Engineer. They show a specialized background in text search and ranking systems, possess valuable hands-on experience with modern LLMs and deep learning, demonstrate strong expertise in vector databases and search retrieval architectures, and show external validation of their work through open-source AI projects."
CAND_0010257,21,0.61214,"Candidate possesses 6.5 YOE as a Senior Data Scientist. They have AI expertise well-aligned with NLP and information retrieval, possess a solid background in search indexing and ranking algorithms, possess strong software engineering fundamentals and build robust production pipelines, and have verified public credentials through open-source contributions or talks."
CAND_0037566,22,0.611448,"Candidate possesses 6.9 YOE as a Machine Learning Engineer. They are available to join quickly and fit the location preferences, possess a highly aligned specialization in search, ranking, and NLP, show external validation of their work through open-source AI projects, and have solid product-company domain exposure and matching logic experience."
CAND_0016163,23,0.609612,"Candidate possesses 6.7 YOE as a Applied ML Engineer. They possess a track record validated by active public contributions, possess a highly aligned specialization in search, ranking, and NLP, bring hands-on proficiency in vector search and embedding retrieval systems, and bring a solid engineering foundation for scaling production ML systems."
CAND_0094056,24,0.609543,"Candidate possesses 5.9 YOE as a NLP Engineer. They have AI expertise well-aligned with NLP and information retrieval, show strong familiarity with PEFT, QLoRA, and modern neural ranking, have verified public credentials through open-source contributions or talks, and demonstrate strong expertise in vector databases and search retrieval architectures."
CAND_0054394,25,0.608519,"Candidate possesses 4.1 YOE as a Recommendation Systems Engineer. They show a specialized background in text search and ranking systems, are available to join quickly and fit the location preferences, demonstrate strong expertise in vector databases and search retrieval architectures, and show strong familiarity with PEFT, QLoRA, and modern neural ranking."
CAND_0061265,26,0.607119,"Candidate possesses 6.6 YOE as a Recommendation Systems Engineer. They have AI expertise well-aligned with NLP and information retrieval, have verified public credentials through open-source contributions or talks, bring hands-on proficiency in vector search and embedding retrieval systems, and possess valuable hands-on experience with modern LLMs and deep learning."
CAND_0079284,27,0.606673,"Candidate possesses 4.9 YOE as a Machine Learning Engineer. They possess a highly aligned specialization in search, ranking, and NLP, possess an immediate notice period and meet the geographic criteria, show strong familiarity with PEFT, QLoRA, and modern neural ranking, and demonstrate strong expertise in vector databases and search retrieval architectures."
CAND_0036437,28,0.605833,"Candidate possesses 4.8 YOE as a Search Engineer. They possess an immediate notice period and meet the geographic criteria, possess a highly aligned specialization in search, ranking, and NLP, demonstrate strong expertise in vector databases and search retrieval architectures, and have verified public credentials through open-source contributions or talks."
CAND_0096142,29,0.605679,"Candidate possesses 5.0 YOE as a Applied ML Engineer. They possess a highly aligned specialization in search, ranking, and NLP, possess a track record validated by active public contributions, possess strong software engineering fundamentals and build robust production pipelines, and possess a solid background in search indexing and ranking algorithms."
CAND_0087630,30,0.605601,"Candidate possesses 7.2 YOE as a AI Engineer. They show a specialized background in text search and ranking systems, are available to join quickly and fit the location preferences, possess a solid background in search indexing and ranking algorithms, and possess valuable hands-on experience with modern LLMs and deep learning."
CAND_0050454,31,0.601784,"Candidate possesses 6.8 YOE as a AI Engineer. They show a specialized background in text search and ranking systems, possess an immediate notice period and meet the geographic criteria, possess valuable hands-on experience with modern LLMs and deep learning, and possess a solid background in search indexing and ranking algorithms."
CAND_0052682,32,0.601268,"Candidate possesses 6.6 YOE as a NLP Engineer. They have AI expertise well-aligned with NLP and information retrieval, show strong familiarity with PEFT, QLoRA, and modern neural ranking, possess a track record validated by active public contributions, and demonstrate excellent ML engineering skills and write high-quality production code."
